Location	Name	ID	Count	Slots
Charm	Ascending Sun Charm of Vigor	161149	1	6
Charm-Slot1	Empty	0	0	0
Charm-Slot2	Seaglass Curio	165174	1	6
Charm-Slot3	Extruded Black Pearl	151936	1	6
Charm-Slot4	Empty	0	0	0
Ear	Vital Ascending Sun Earring	161115	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Seaglass Curio	165174	1	6
Ear-Slot3	Jetsam of the Darkened Sea	160660	1	6
Head	Heavenly Glorious Void Soulrender Helm	161032	1	6
Head-Slot1	Seaglass Curio	165174	1	6
Head-Slot2	Empty	0	0	0
Head-Slot3	Extra Planar Potential Shard	148442	1	6
Head-Slot4	Empty	0	0	0
Face	Guardian's Ascending Sun Mask	161120	1	6
Face-Slot1	Empty	0	0	0
Face-Slot2	Seaglass Curio	165174	1	6
Face-Slot3	Empty	0	0	0
Ear	Fleet Ascending Sun Earring	161116	1	6
Ear-Slot1	Empty	0	0	0
Ear-Slot2	Seaglass Curio	165174	1	6
Ear-Slot3	Fantastic Feline Cameo	165166	1	6
Neck	Ascending Sun Necklace of Security	161123	1	6
Neck-Slot1	Empty	0	0	0
Neck-Slot2	Seaglass Curio	165174	1	6
Neck-Slot3	Purple Haze	163166	1	6
Shoulders	Ascending Sun Amice of Vigor	161127	1	6
Shoulders-Slot1	Empty	0	0	0
Shoulders-Slot2	Seaglass Curio	165174	1	6
Shoulders-Slot3	Darkened Trakanon's Heart	146377	1	6
Arms	Heavenly Glorious Void Soulrender Vambraces	161033	1	6
Arms-Slot1	Seaglass Curio	165174	1	6
Arms-Slot2	Dour Blue	160172	1	6
Arms-Slot3	Extra Planar Potential Shard	148442	1	6
Arms-Slot4	Empty	0	0	0
Back	Ascending Sun Cloak of Adroitness	161131	1	6
Back-Slot1	Empty	0	0	0
Back-Slot2	Seaglass Curio	165174	1	6
Back-Slot3	Empty	0	0	0
Wrist	Heavenly Glorious Void Soulrender Bracer	161029	1	6
Wrist-Slot1	Seaglass Curio	165174	1	6
Wrist-Slot2	Silver-Etched Coin	102697	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Wrist	Heavenly Glorious Void Soulrender Bracer	161029	1	6
Wrist-Slot1	Seaglass Curio	165174	1	6
Wrist-Slot2	Happy Stone	160170	1	6
Wrist-Slot3	Extra Planar Potential Shard	148442	1	6
Wrist-Slot4	Empty	0	0	0
Range	Ascending Sun Idol of Vigor	161135	1	6
Range-Slot1	Stone of Judgment	86162	1	6
Range-Slot2	Seaglass Curio	165174	1	6
Range-Slot3	Sleeper's Essence	163169	1	6
Hands	Heavenly Glorious Void Soulrender Gauntlets	161030	1	6
Hands-Slot1	Seaglass Curio	165174	1	6
Hands-Slot2	Flotsam of the Darkened Sea	160658	1	6
Hands-Slot3	Extra Planar Potential Shard	148442	1	6
Hands-Slot4	Empty	0	0	0
Primary	Ice Encrusted War Hammer	164362	1	6
Primary-Slot1	Jewel of the Seas	165170	1	6
Primary-Slot2	Empty	0	0	0
Secondary	Ascending Sun Tower Shield	161152	1	6
Secondary-Slot1	Empty	0	0	0
Secondary-Slot2	Seaglass Curio	165174	1	6
Secondary-Slot3	Ry`Gorr Glass Gem	163179	1	6
Secondary-Slot4	Empty	0	0	0
